,Area,Perimeter,Convex Area,Solidity,Equivalent Diameter,Major Axis,Minor Axis,Eccentricity,Class
0,6314.5,521.9726493358612,9855.5,0.6407082339810258,89.66532833392283,86.29753875732422,146.95289611816406,(8.439724311699382e-17+1.3783115780934465j),1
1,52776.5,1189.8204090595245,59947.0,0.8803860076400821,259.2240861353654,209.59024047851562,405.8614196777344,(1.015395044877726e-16+1.6582659515946696j),1
2,50232.5,1415.3494101762772,69628.5,0.7214359062740113,252.89920013892703,223.6327362060547,373.07763671875,(8.176507178841775e-17+1.3353249581078526j),1
3,4486.0,275.6223648786545,4741.5,0.9461140989138458,75.57613775314229,64.8183822631836,93.0833969116211,(6.311037889163952e-17+1.0306707033502136j),1
4,145.0,92.0832599401474,323.5,0.4482225656877898,13.58748446131949,16.900970458984375,28.915042877197266,(8.50007943665633e-17+1.3881683180120858j),1
5,4767.5,496.3157956600189,6550.0,0.7278625954198473,77.91129269576322,69.41056823730469,107.68180847167969,(7.262588835619335e-17+1.1860707659834382j),1
6,32059.0,1447.5676636695862,57016.0,0.5622807632945138,202.03659709236982,203.8814697265625,340.5203552246094,(8.191247381174276e-17+1.3377322158319185j),1
7,54709.0,1369.2346241474152,63054.5,0.8676462425362187,263.9273806426988,261.2904052734375,279.0409851074219,(2.2950585258151318e-17+0.3748115011467863j),1
8,4123.5,279.8650050163269,4550.5,0.9061641577848588,72.45828636336526,63.913658142089844,88.79299926757812,(5.905213495165269e-17+0.9643945502126342j),1
9,12913.0,1399.307778954506,25064.5,0.5151908077160925,128.22379748379456,128.97732543945312,195.83187866210938,(6.995957270652532e-17+1.142526526917539j),1
10,9538.0,2055.890602707863,74793.5,0.1275244506541344,110.2005389173936,269.5943908691406,331.2054138183594,(4.369825605604119e-17+0.7136466789684278j),1
11,6028.5,542.3990564346313,8285.5,0.7275964033552592,87.61121272665919,74.48892211914062,129.7051239013672,(8.728587461287102e-17+1.4254865104557959j),1
12,395.0,76.08326041698456,408.5,0.966952264381885,22.42609239636699,22.053640365600586,23.88254165649414,(2.544914224480713e-17+0.4156160333334609j),1
13,3008.0,313.07820785045624,4086.5,0.7360822219503242,61.88622262316039,49.959129333496094,113.80352020263672,(1.2532415844192435e-16+2.0466988282528464j),1
14,1160.5,203.58073377609253,1674.0,0.6932497013142175,38.43949130341291,27.0394344329834,69.99866485595703,(1.4621187268097827e-16+2.3878210890319833j),1
15,2111.0,388.61731350421906,4407.5,0.4789563244469654,51.844080461861104,65.21904754638672,104.9911117553711,(7.724817162491552e-17+1.2615583804032102j),1
16,6403.5,1622.3199716806412,91829.5,0.06973249337086666,90.29501328817453,337.6961975097656,465.7452392578125,(5.815940638199986e-17+0.949815186264198j),1
17,791.0,118.56854116916656,842.0,0.9394299287410927,31.735350634355903,32.020904541015625,37.813594818115234,(3.8461164231922116e-17+0.6281184788740766j),1
18,60164.5,938.3645669221878,60763.5,0.9901421083380648,276.77395215088194,242.0734100341797,319.2044372558594,(5.263047340893037e-17+0.8595208585132261j),1
19,59864.5,932.5655763149261,60230.0,0.9939315955503901,276.08304679171835,243.40708923339844,317.0455017089844,(5.110569307442492e-17+0.8346193059093723j),1
20,9546.5,2056.476388692856,74811.0,0.12760823943003036,110.24963180806651,269.766845703125,331.07232666015625,(4.356332836684627e-17+0.711443142580812j),1
21,12535.5,1353.8346898555756,28015.5,0.4474487337366815,126.33564149925243,160.57205200195312,194.8794708251953,(4.2110956930432574e-17+0.6877241170229957j),1
22,1187.0,581.4558436870575,1959.0,0.6059213884635017,38.875896640471694,9.854265213012695,277.5155944824219,(1.7233362871328803e-15+28.144217391214088j),1
23,3294.5,1147.0752437114716,46929.5,0.0702010462502264,64.76640857828998,288.832275390625,329.5915222167969,(3.3658232515942594e-17+0.5496806514233616j),1
24,9700.0,446.47517585754395,10448.5,0.9283629229075944,111.13245963232829,95.43159484863281,137.88380432128906,(6.385729611545914e-17+1.0428687873094362j),1
25,6653.0,1525.307779431343,84025.5,0.07917834466917781,92.03728967719029,383.9801330566406,402.4076232910156,(1.9196566943250928e-17+0.3135037295098689j),1
26,4415.0,1019.3178831338882,29665.5,0.1488260774300113,74.97567999028581,286.70758056640625,417.10491943359375,(6.470003749082371e-17+1.056631798423356j),1
27,827.5,120.12488996982574,879.5,0.9408754974417283,32.459293326693775,24.040611267089844,45.99359130859375,(9.987049106804114e-17+1.63100889395334j),1
28,232.0,129.88224935531616,371.0,0.6253369272237197,17.186959427966244,10.484235763549805,51.548316955566406,(2.9477113870941833e-16+4.813978020677464j),1
29,2859.0,340.3919162750244,5017.5,0.5698056801195814,60.334002506031624,73.6178207397461,96.13848114013672,(5.142821046562889e-17+0.8398864146206925j),1
30,930.0,486.96045756340027,6480.0,0.14351851851851852,34.41093978088511,308.28839111328125,418.62432861328125,(5.625010192002307e-17+0.9186338780975312j),1
31,10355.0,473.58787417411804,11766.0,0.8800781913989462,114.82332291713479,102.63204193115234,140.72467041015625,(5.744338472022769e-17+0.9381216651237241j),1
32,606.5,154.12489008903503,935.0,0.6486631016042781,27.788842794939775,25.345823287963867,48.70490264892578,(1.0047707289849498e-16+1.6409151270137812j),1
33,710.5,160.6101713180542,1046.5,0.6789297658862876,30.077178998940926,18.762712478637695,67.59085845947266,(2.1191441542112772e-16+3.4608250406349126j),1
34,32059.0,1447.5676636695862,57016.0,0.5622807632945138,202.03659709236982,203.8814697265625,340.5203552246094,(8.191247381174276e-17+1.3377322158319185j),1
